66.78,67.44,66.6,67.42,1238007
67.41,67.86,67.33,67.7,1241033
67.69,68.35,67.45,68.16,1127229
68.27,68.425,67.8408,68.11,867704
68.04,68.12,67.58,67.78,1440966
68.29,69.51,67.63,69.47,2693445
69.55,69.81,68.54,69.35,1718220
69.25,69.82,69.19,69.58,1781401
69.68,70.16,69.22,69.43,1679773
69.66,70.2,69.59,70.13,1581556
70.31,70.5,68.85,68.85,1363819
69.16,69.7099,69.07,69.55,1491149
69.49,70.62,69.13,70.3,1105134
70.33,71.13,70.29,70.78,2943049
70.28,71.9,70,71.26,1889889
71.13,72.1,70.96,71.61,1523843
71.95,72.1,71.42,71.81,1412929
71.74,71.74,70.63,70.9,1160482
70.85,71.33,70.76,70.84,1557399
71,71,69.81,70.34,1688015
70.43,70.6,70.11,70.6,932214
70.8,70.9,70.21,70.46,1060546
70.51,70.73,70.0601,70.3,994906
70.45,71.02,70.35,70.52,1106973
70.14,70.8,69.81,70.69,2218510
70.18,70.46,69.945,70.21,1582300
70.14,70.32,69.69,69.89,1078154
70.2,70.49,69.94,70.13,1292536
70.27,70.72,70.07,70.25,1234361
70.26,71.05,70.22,70.98,973046
71.21,71.64,71.02,71.26,1185238
71.45,72.2,71.33,71.99,977493
71.69,72.155,71.57,72.11,992411
72.24,73.22,71.92,73.2,1995765
73.2,73.5,72.84,73.5,1000035
73.87,74.29,73.67,74.02,1119262
74.25,74.41,73.39,73.53,1016588
73.7,74.77,73.64,74.65,1289213
73.9,74.8,73.85,74.74,1292237
74.93,75.66,74.59,75.55,1005670
75.55,75.77,75.01,75.53,1169182
75.74,76.33,75.45,76.15,1473092
76.28,76.85,76.06,76.31,1155178
76.18,77.18,75.97,77.18,1200617
76.7,77.88,76.5005,76.63,2953541
76.19,77.8,75.44,77.77,2203870
77.29,77.93,76.44,77.53,2444796
77.63,77.93,77,77.72,1788172
78.07,79.1,77.41,79.05,1699834
79.2,79.26,78.44,79.12,1075561
79.53,79.6,78.74,79.39,1180841
79.09,79.56,78.6985,79.21,1082354
79.27,79.54,78.42,78.6,1374454
78.59,79.37,77.89,78.41,1165224
78.75,79.09,78.26,79,799248
78.99,79.64,78.85,79.63,1122388
79.67,80.55,79.3,79.45,1457017
79.98,80.4,79.4,80.26,1241274
80.71,80.82,79.93,79.98,1636625
79.86,80.58,79.78,80.37,1495289
80.38,80.83,79.79,80.65,1401423
80.35,80.35,79.34,79.66,1846194
79.61,79.61,78.44,78.7,1839846
79.07,79.27,78.5326,79.27,1433388
79.32,79.99,79.18,79.88,1110037
80.07,80.57,79.902,80.53,969144
80.41,81.8,80.08,81.8,1843392
81.44,81.66,80.92,81.23,1633071
81.38,82.21,81.0275,81.67,1524165
82.11,82.64,81.88,82.3,1422731
82.62,83.22,82.39,82.93,1216888
83.01,84.108,80.26,80.71,2128973
79.57,79.81,77.52,78.07,2989054
77.65,77.84,75.59,76.66,2348429
77.45,77.6565,74.51,74.84,2664934
74.07,74.194,71.52,72.56,3813397
72.54,73.35,72.38,72.79,2134093
72.51,73.41,71.32,71.37,3692343
71.26,71.85,69.79,71.44,1847950
71.41,71.56,70.23,70.24,1588470
70.1,70.75,69.28,69.5,1500941
69.56,71.35,69.19,71.29,1396681
